config,alpha,RMSE_mm,BCRLB_tau,method
HW,0.16842105263157894,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.18157894736842106,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.19473684210526315,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.20789473684210524,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.22105263157894733,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.23421052631578948,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.24736842105263157,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.26052631578947366,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.27368421052631575,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.2868421052631579,0.004389762421020939,8.576312913196775e-28,unknown
HW,0.3,0.004389762421020939,8.576312913196775e-28,unknown
HW+PN,0.05,0.04178731557098516,7.771547954063839e-26,unknown
HW+PN,0.06315789473684211,0.03718062750578142,6.152505574061244e-26,unknown
HW+PN,0.07631578947368421,0.03382395593249782,5.0917536699215805e-26,unknown
HW+PN,0.08947368421052632,0.03123812820341318,4.3429876199406127e-26,unknown
HW+PN,0.10263157894736842,0.029167097987556158,3.786212864826534e-26,unknown
HW+PN,0.11578947368421053,0.027459982026341014,3.355977826783816e-26,unknown
HW+PN,0.12894736842105264,0.026021337138947966,3.0135458577293865e-26,unknown
HW+PN,0.14210526315789473,0.02478744892594979,2.7345272162776117e-26,unknown
HW+PN,0.15526315789473683,0.023713942863286014,2.5027998699871387e-26,unknown
HW+PN,0.16842105263157894,0.022768837137042253,2.3072799215545358e-26,unknown
HW+PN,0.18157894736842106,0.02192842071677332,2.1400961975324418e-26,unknown
HW+PN,0.19473684210526315,0.02117469205733776,1.995504868648455e-26,unknown
HW+PN,0.20789473684210524,0.020493704981898102,1.8692162396231885e-26,unknown
HW+PN,0.22105263157894733,0.019874464933897776,1.7579619711961564e-26,unknown
HW+PN,0.23421052631578948,0.0193081714987815,1.6592081823676557e-26,unknown
HW+PN,0.24736842105263157,0.018787685725121562,1.5709601157549433e-26,unknown
HW+PN,0.26052631578947366,0.01830714742923255,1.491625995264717e-26,unknown
HW+PN,0.27368421052631575,0.017861695000965495,1.4199201555908486e-26,unknown
HW+PN,0.2868421052631579,0.017447256769047518,1.354792833318244e-26,unknown
HW+PN,0.3,0.017060393284067516,1.295378434052e-26,unknown
HW+PN+DSE,0.05,0.24084472182402775,2.5816231784953868e-24,unknown
HW+PN+DSE,0.06315789473684211,0.13739555446857582,8.401637658103687e-25,unknown
HW+PN+DSE,0.07631578947368421,0.08908407521741053,3.531984079800288e-25,unknown
HW+PN+DSE,0.08947368421052632,0.06357672992051464,1.7989328720495435e-25,unknown
HW+PN+DSE,0.10263157894736842,0.0489370500825398,1.0658452612854593e-25,unknown
HW+PN+DSE,0.11578947368421053,0.03998551296846975,7.115803213946657e-26,unknown
HW+PN+DSE,0.12894736842105264,0.03421007979958129,5.208669001667815e-26,unknown
HW+PN+DSE,0.14210526315789473,0.030295999607498295,4.084972699718084e-26,unknown
HW+PN+DSE,0.15526315789473683,0.027517872853803048,3.3701428122499244e-26,unknown
HW+PN+DSE,0.16842105263157894,0.025459351477017795,2.8847837229325566e-26,unknown
HW+PN+DSE,0.18157894736842106,0.023873381988933615,2.5365678265824374e-26,unknown
HW+PN+DSE,0.19473684210526315,0.022608768925582983,2.274952932338379e-26,unknown
HW+PN+DSE,0.20789473684210524,0.02157016532941218,2.0707398114450067e-26,unknown
HW+PN+DSE,0.22105263157894733,0.020695650422614727,1.9062363435482143e-26,unknown
HW+PN+DSE,0.23421052631578948,0.01994384320707446,1.770256867626218e-26,unknown
HW+PN+DSE,0.24736842105263157,0.019286315036331395,1.655453927746631e-26,unknown
HW+PN+DSE,0.26052631578947366,0.01870301432874706,1.5568321752446916e-26,unknown
HW+PN+DSE,0.27368421052631575,0.018179441962756664,1.4708882592108695e-26,unknown
HW+PN+DSE,0.2868421052631579,0.01770486686469215,1.3950954302685145e-26,unknown
HW+PN+DSE,0.3,0.01727117325409389,1.3275847867365776e-26,unknown
Full,0.05,0.2408447220383804,2.581623183090694e-24,unknown
Full,0.06315789473684211,0.1373955545908584,8.401637673058659e-25,unknown
Full,0.07631578947368421,0.08908407529669565,3.5319840860872443e-25,unknown
Full,0.08947368421052632,0.06357672997709814,1.7989328752516562e-25,unknown
Full,0.10263157894736842,0.04893705012609393,1.0658452631826711e-25,unknown
Full,0.11578947368421053,0.03998551300405699,7.115803226612837e-26,unknown
Full,0.12894736842105264,0.03421007983002838,5.20866901093928e-26,unknown
Full,0.14210526315789473,0.030295999634461838,4.0849727069893623e-26,unknown
Full,0.15526315789473683,0.027517872878294047,3.370142818248802e-26,unknown
Full,0.16842105263157894,0.025459351499676704,2.884783728067492e-26,unknown
Full,0.18157894736842106,0.023873382010181004,2.5365678310975453e-26,unknown
Full,0.19473684210526315,0.022608768945704866,2.274952936387811e-26,unknown
Full,0.20789473684210524,0.021570165348609702,2.070739815130938e-26,unknown
Full,0.22105263157894733,0.020695650441033928,1.9062363469413275e-26,unknown
Full,0.23421052631578948,0.019943843224824554,1.7702568707772881e-26,unknown
Full,0.24736842105263157,0.019286315053496282,1.6554539306933504e-26,unknown
Full,0.26052631578947366,0.018703014345392805,1.5568321780158633e-26,unknown
Full,0.27368421052631575,0.01817944197893643,1.4708882618290605e-26,unknown
Full,0.2868421052631579,0.017704866880449543,1.3950954327517937e-26,unknown
Full,0.3,0.017271173269465295,1.3275847890996875e-26,unknown
