config,alpha,RMSE_mm,BCRLB_tau,N0,S_PN,S_DSE,sigma2_gamma_psd,S_total,SNR_eff,P_sig_total
HW+PN+DSE,0.19473684210526315,6.009358633179089e+19,1.6072181629226013e+17,1.2661386918778057e-20,1.0336888212332968e+28,0.0,1.2156221476343472e-19,1.0336888212332968e+28,1.2248741264002182e-46,2.5322773837556116e-08
HW+PN+DSE,0.20789473684210524,5.629019480090146e+19,1.4102109698780566e+17,1.2661386918778057e-20,9.069828532131338e+27,0.0,1.2156221476343472e-19,9.069828532131338e+27,1.3959896677123544e-46,2.5322773837556116e-08
HW+PN+DSE,0.22105263157894733,5.293958797458843e+19,1.2473252076758818e+17,1.2661386918778057e-20,8.022222205804865e+27,0.0,1.2156221476343472e-19,8.022222205804865e+27,1.5782892313324733e-46,2.5322773837556116e-08
HW+PN+DSE,0.23421052631578948,4.996545382429588e+19,1.1111130750319304e+17,1.2661386918778057e-20,7.146168400051675e+27,0.0,1.2156221476343472e-19,7.146168400051675e+27,1.771772817260576e-46,2.5322773837556116e-08
HW+PN+DSE,0.24736842105263157,4.730771692321359e+19,9.96053267201153e+16,1.2661386918778057e-20,6.406156621491071e+27,0.0,1.2156221476343472e-19,6.406156621491071e+27,1.97644042549666e-46,2.5322773837556116e-08
HW+PN+DSE,0.26052631578947366,4.491843829434183e+19,8.979825191720773e+16,1.2661386918778057e-20,5.775410663871348e+27,0.0,1.2156221476343472e-19,5.775410663871348e+27,2.1922920560407272e-46,2.5322773837556116e-08
HW+PN+DSE,0.27368421052631575,4.275889799468518e+19,8.13713634580471e+16,1.2661386918778057e-20,5.233431945675782e+27,0.0,1.2156221476343472e-19,5.233431945675782e+27,2.4193277088927768e-46,2.5322773837556116e-08
HW+PN+DSE,0.2868421052631579,4.079748065792061e+19,7.407732238595768e+16,1.2661386918778057e-20,4.76431276249502e+27,0.0,1.2156221476343472e-19,4.76431276249502e+27,2.6575473840528103e-46,2.5322773837556116e-08
HW+PN+DSE,0.3,3.900811747320349e+19,6.7721811892839096e+16,1.2661386918778057e-20,4.35555555071605e+27,0.0,1.2156221476343472e-19,4.35555555071605e+27,2.906951081520826e-46,2.5322773837556116e-08
Full,0.05,2.3404870028827397e+20,2.437985133331673e+18,1.2661386918778057e-20,1.5679999372800022e+29,0.0,1.2156221476343472e-19,1.5679999372800022e+29,8.074864429358123e-48,2.5322773837556116e-08
Full,0.06315789473684211,1.852885557781141e+20,1.5279733442244872e+18,1.2661386918778057e-20,9.827221975859227e+28,0.0,1.2156221476343472e-19,9.827221975859227e+28,1.288399402179071e-47,2.5322773837556116e-08
Full,0.07631578947368421,1.5334225366340613e+20,1.0465073165584708e+18,1.2661386918778057e-20,6.730653867787585e+28,0.0,1.2156221476343472e-19,6.730653867787585e+28,1.8811525845021577e-47,2.5322773837556116e-08
