config,alpha,RMSE_mm,BCRLB_tau,N0,S_PN,S_DSE,sigma2_gamma_psd,S_total,E_sig_target,E_sig_actual,A_scale
HW+PN,0.10263157894736842,3960.751310097634,6.981901773289879e-16,4.0038821e-21,3.1582180086520986e-13,0.0,4.6219772958802394e-11,4.6535594763671486e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.11578947368421053,3959.223724690356,6.976517242073647e-16,4.0038821e-21,2.7993295985779963e-13,0.0,4.6219772958802394e-11,4.649970592266408e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.12894736842105264,3958.007470041009,6.972231594779094e-16,4.0038821e-21,2.5136837211720785e-13,0.0,4.6219772958802394e-11,4.6471141334923486e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.14210526315789473,3957.016171331343,6.968739585872421e-16,4.0038821e-21,2.2809352284709596e-13,0.0,4.6219772958802394e-11,4.644786648565337e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.15526315789473683,3956.1927005454077,6.965839442882133e-16,4.0038821e-21,2.0876356328378278e-13,0.0,4.6219772958802394e-11,4.642853652609006e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.16842105263157894,3955.497763723445,6.963392447234078e-16,4.0038821e-21,1.9245390990223726e-13,0.0,4.6219772958802394e-11,4.6412226872708514e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.18157894736842106,3954.9034455353944,6.961300088636468e-16,4.0038821e-21,1.7850797440207512e-13,0.0,4.6219772958802394e-11,4.639828093720835e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.19473684210526315,3954.3893685842036,6.959490481200694e-16,4.0038821e-21,1.664466247803133e-13,0.0,4.6219772958802394e-11,4.638621958758659e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.20789473684210524,3953.940309981753,6.957909937997299e-16,4.0038821e-21,1.5591202827523021e-13,0.0,4.6219772958802394e-11,4.637568499108151e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.22105263157894733,3953.544668477697,6.956517554699066e-16,4.0038821e-21,1.4663155040170457e-13,0.0,4.6219772958802394e-11,4.636640451320798e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.23421052631578948,3953.193447902431,6.955281618962435e-16,4.0038821e-21,1.38393822851047e-13,0.0,4.6219772958802394e-11,4.6358166785657325e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.24736842105263157,3952.8795648147498,6.954177165750979e-16,4.0038821e-21,1.3103244929514028e-13,0.0,4.6219772958802394e-11,4.635080541210142e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.26052631578947366,3952.5973658129324,6.953184273469971e-16,4.0038821e-21,1.244146488256887e-13,0.0,4.6219772958802394e-11,4.634418761163197e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.27368421052631575,3952.3422839943664,6.952286851600598e-16,4.0038821e-21,1.1843317532445367e-13,0.0,4.6219772958802394e-11,4.633820613813073e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
