SNR0_db,C_J_bps_hz,C_G_bps_hz,Jensen_gap_bits,C_sat,SNR_crit_db,alpha,Gamma_eff_total,sigma_2_phi_c_res_rad2,eta_bsq_avg,B_hz,f_c_hz
-3.885182e+01,4.230144e-01,4.232853e-01,-2.709165e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.824576e+01,4.583784e-01,4.586408e-01,-2.624203e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.763969e+01,4.943717e-01,4.946225e-01,-2.507977e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.703363e+01,5.306655e-01,5.309019e-01,-2.364543e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.642757e+01,5.669200e-01,5.671399e-01,-2.199149e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.582151e+01,6.027970e-01,6.029988e-01,-2.017834e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.521545e+01,6.379718e-01,6.381545e-01,-1.826974e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.460939e+01,6.721449e-01,6.723082e-01,-1.632827e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.400333e+01,7.050512e-01,7.051953e-01,-1.441128e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.339727e+01,7.364670e-01,7.365927e-01,-1.256774e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.279121e+01,7.662146e-01,7.663230e-01,-1.083630e-04,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.218515e+01,7.941637e-01,7.942562e-01,-9.244529e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.157909e+01,8.202306e-01,8.203087e-01,-7.809173e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-3.097303e+01,8.443753e-01,8.444407e-01,-6.537316e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
